States ,Nominal GDP INR,Nominal GDP USD
Maharashtra,2.796E+13,4.3E+11
Tamil Nadu,1.596E+13,2.47E+11
Gujarat,1.496E+13,2.3E+11
Uttar Pradesh,1.489E+13,2.3E+11
Karnataka,1.408E+13,2.17E+11
West Bengal,1.049E+13,1.6E+11
Andhra Pradesh,8.7E+12,1.36E+11
Telangana,8.43E+12,1.3E+11
Rajasthan,8.4E+12,1.29E+11
Madhya Pradesh,8.26E+12,1.26E+11
Kerala,7.73E+12,1.2E+11
Haryana,6.87E+12,1.1E+11
Delhi,6.86E+12,1.1E+11
Punjab,5.18E+12,80000000000
Bihar,5.15E+12,80000000000
Odisha,4.43E+12,70000000000
Assam,3.33E+12,51000000000
Chhattisgarh,3.25E+12,50000000000
Jharkhand,2.82E+12,43000000000
Uttarakhand,2.58E+12,40000000000
Jammu and Kashmir,1.57E+12,25000000000
Himachal Pradesh,1.52E+12,25000000000
Goa,7.04E+11,11000000000
Tripura,3.4368E+11,5200000000
Puducherry,3.2215E+11,4800000000
Chandigarh,3.1823E+11,4600000000
Meghalaya,2.7228E+11,4100000000
Sikkim,2.2248E+11,3300000000
Nagaland,2.1488E+11,3200000000
Manipur,2.1066E+11,3200000000
Arunachal Pradesh,2.0259E+11,3000000000
Mizoram,1.7613E+11,2500000000
Andaman and Nicobar Islands,66490000000,1000000000
