State,Billions of Rupees
Andhra Pradesh,"1,609.0"
Arunachal Pradesh,51.5
Assam,475.8
Bihar,"1,314.3"
Chhattisgarh,457.8
Goa,172.9
Gujarat,"2,484.1"
Haryana,"1,441.9"
Himachal Pradesh,455.3
Jammu and Kashmir,641.2
Jharkhand,638.1
Karnataka,"1,982.9"
Kerala,"1,823.1"
Madhya Pradesh,"1,479.4"
Maharashtra,"3,939.9"
Manipur,87.6
Meghalaya,86.0
Mizoram,77.0
Nagaland,86.0
Odisha,677.9
Punjab,"1,482.3"
Rajasthan,"2,328.3"
Sikkim,45.9
Tamil Nadu,"2,560.7"
Telangana,"1,122.5"
Tripura,115.9
Uttar Pradesh,"4,582.0"
Uttarakhand,448.7
West Bengal,"3,344.9"
