State,Percent of rural ppl below poverty line
Andhra Pradesh,11
Arunachal Pradesh,38.9
Assam,33.9
Bihar,34.1
Chhattisgarh,44.6
Goa,12.9
Gujarat,6.8
Haryana,21.5
Himachal Pradesh,11.6
Jammu & Kashmir,8.5
Jharkhand,11.5
Karnataka,40.8
Kerala,24.5
Madhya Pradesh,9.1
Maharashtra,35.7
Manipur,24.2
Meghalaya,38.8
Mizoram,12.5
Nagaland,35.4
Orissa,19.9
Punjab,35.7
Rajasthan,7.7
Sikkim,16.1
Tamil Nadu,9.9
Tripura,15.8
Uttar Pradesh,16.5
Uttarkhand,30.4
West Bengal,11.6
A & N Islands,22.5
Chandigarh,17.1
Dadra & Nagar Haveli,1.6
Daman & Diu,1.6
Delhi,62.6
Lakshadweep,0
Puducherry,0
,
,
,
,
,
