States/Union Territories,1990-91,1991-92,1992-93,2010-11,2011-12,2012-13,2013-14,2014-15
Andhra Pradesh,5370,5378,5085,7153,6785,6268,4095,3886
Arunachal Pradesh,32,32,36,56,57,57,57,56
Assam,572,572,572,170,163,378,375,374
Bihar,4192,4157,4040,4448,5158,5327,5145,5268
Chhattisgarh,,,,1605,1648,1725,1751,1787
NCT of Delhi,53,49,44,32,31,34,29,29
Goa,31,35,35,36,41,36,38,39
Gujarat,2910,2880,3227,5616,6305,5913,5939,6014
Haryana,4237,4340,4472,5543,5680,5672,5708,5824
Himachal Pradesh,167,175,174,193,198,204,200,193
Jammu and Kashmir,436,444,437,479,480,487,496,504
Jharkhand,,,,150,162,235,238,221
Karnataka,2598,2834,2802,4279,4137,4007,4112,4186
Kerala,383,387,376,467,546,458,468,470
Madhya Pradesh,4431,4757,4918,7421,8228,8966,9919,10301
Maharashtra,3319,3265,3262,4496,4173,4050,4556,4282
Manipur,75,75,75,73,69,49,69,69
Meghalaya,47,45,45,74,80,125,127,128
Mizoram,8,8,8,12,13,15,16,21
Nagaland,60,60,62,92,92,92,100,106
Odisha,2314,2530,2471,1539,1437,1496,1505,1485
Puducherry,33,36,37,25,22,22,21,22
Punjab,7055,7111,7142,7724,7771,7744,7732,7757
Rajasthan,4652,5264,5486,8322,8903,9455,9865,10171
Sikkim,16,16,16,15,14,13,13,12
Tamil Nadu,2894,3257,3385,3348,3519,2991,3311,3394
Telangana,,,,,,,3164,2529
Tripura,50,49,60,107,111,107,107,116
Uttar Pradesh,14771,15426,15996,19626,19901,20191,20403,20965
Uttarakhand,,,,562,555,554,544,542
West Bengal,2492,2491,2491,5269,5502,5568,5661,5700
