States/Union Territories,Gross Land Sown 2010-11,Gross Land Sown 2011-12,Gross Land Sown 2012-13,Gross Land Sown 2013-14,Gross Land Sown 2014-15
Andhra Pradesh,14512,13759,13650,8128,7690
Arunachal Pradesh,278,281,285,296,299
Assam,4160,4174,4076,4100,4083
Bihar,7194,7647,7778,7580,7673
Chhattisgarh,5671,5664,5691,5698,5728
Goa,160,164,163,158,158
Gujarat,12257,13086,12600,12487,12773
Haryana,6505,6489,6376,6471,6536
Himachal Pradesh,939,932,960,943,918
Jammu and Kashmir,1140,1161,1162,1155,1178
Jharkhand,1249,1430,1657,1672,1554
Karnataka,13062,12059,11748,12267,12247
Kerala,2647,2662,2592,2617,2625
Madhya Pradesh,22046,22516,23130,24047,23810
Maharashtra,23175,22080,21943,23328,23474
Manipur,348,365,309,377,383
Meghalaya,338,339,340,343,343
Mizoram,121,97,116,114,145
Nagaland,452,474,489,499,500
Puducherry,31,27,26,25,27
Punjab,7883,7905,7870,7848,7857
Rajasthan,26002,24505,23954,26120,24235
Sikkim,152,137,144,147,136
Tamil Nadu,5753,5890,5140,5897,5995
Telangana,.,.,.,6288,5315
Tripura,470,472,474,474,483
Uttar Pradesh,25615,25939,25821,25896,26147
Uttarakhand,1170,1132,1124,1099,1097
West Bengal,8832,9353,9459,9618,9690
