Regions/States/Union Territories,Personal Loans 2010,Personal Loans 2011,Personal Loans 2012,Personal Loans 2013,Personal Loans 2014,Personal Loans 2015,Personal Loans 2016,Personal Loans 2017
Haryana,144.0,206.0,195.0,231.0,318.0,376.0,420.0,497.0
Himachal Pradesh,33.0,39.0,41.0,44.0,57.0,60.0,64.0,79.0
Jammu and Kashmir,42.0,48.0,57.0,72.0,87.0,106.0,133.0,148.0
Punjab,140.0,179.0,186.0,205.0,267.0,285.0,312.0,356.0
Rajasthan,191.0,208.0,227.0,274.0,318.0,380.0,475.0,569.0
Arunachal Pradesh,6.0,7.0,8.0,9.0,10.0,12.0,14.0,17.0
Assam,86.0,91.0,104.0,97.0,128.0,132.0,155.0,182.0
Manipur,8.0,7.0,7.0,8.0,9.0,11.0,15.0,19.0
Meghalaya,9.0,10.0,11.0,12.0,13.0,18.0,19.0,25.0
Mizoram,8.0,8.0,9.0,9.0,11.0,12.0,15.0,17.0
Nagaland,9.0,8.0,9.0,11.0,12.0,14.0,16.0,19.0
Tripura,10.0,12.0,14.0,18.0,18.0,22.0,23.0,24.0
Bihar,84.0,117.0,135.0,156.0,175.0,185.0,222.0,263.0
Jharkhand,68.0,82.0,89.0,102.0,114.0,131.0,159.0,179.0
Odisha,114.0,126.0,138.0,153.0,167.0,187.0,213.0,246.0
Sikkim,6.0,7.0,7.0,8.0,8.0,8.0,10.0,11.0
West Bengal,255.0,274.0,262.0,313.0,365.0,386.0,462.0,544.0
Chhattisgarh,53.0,66.0,73.0,101.0,110.0,126.0,157.0,185.0
Madhya Pradesh,163.0,174.0,205.0,218.0,288.0,344.0,414.0,481.0
Uttar Pradesh,280.0,341.0,373.0,463.0,549.0,649.0,783.0,906.0
Uttarakhand,45.0,55.0,61.0,72.0,86.0,97.0,116.0,135.0
Goa,25.0,32.0,35.0,42.0,48.0,57.0,63.0,72.0
Gujarat,244.0,295.0,339.0,433.0,528.0,624.0,797.0,944.0
Maharashtra,963.0,1213.0,1358.0,1486.0,1813.0,2013.0,2416.0,2952.0
Andhra Pradesh,576.0,706.0,779.0,917.0,1063.0,516.0,618.0,721.0
Karnataka,550.0,613.0,718.0,864.0,993.0,1209.0,1426.0,1664.0
Kerala,393.0,447.0,503.0,614.0,663.0,677.0,776.0,911.0
Tamil Nadu,636.0,758.0,892.0,1111.0,1122.0,1280.0,1376.0,1562.0
Telangana,-,-,-,-,-,687.0,795.0,902.0
