State / Union Territory,Year,Rice,Wheat,Coarse Cereals,Pulses,Food Grains,Oilseeds,Cotton(Lint),Sugarcane,Raw Jute & Mesta
ANDHRA PRADESH,2016-17,7449,,1946,971,10366,777.4,1618,7854,66
ANDHRA PRADESH,2015-16,7488.7,,1916,1229,10633.7,873,1888,9353,44
ANDHRA PRADESH,2014-15,11565.4,6,4715.6,1155.9,17443,1220,6641,13150,51
ANDHRA PRADESH,2013-14,12724.7,4,5385.4,1551,19665.1,1885.6,6956,15385,84
ANDHRA PRADESH,2012-13,11510,10,5519.5,1623,18662.5,1651.1,7350,15567,128
ANDHRA PRADESH,2011-12,12895,11,4227.1,1230,18363.1,1264.7,4900,16686,202
ANDHRA PRADESH,2010-11,14418,13,4444,1440,20315,1995.6,5300,14964,224
ARUNACHAL PRADESH,2016-17,,,,,,,,,
ARUNACHAL PRADESH,2015-16,,,,,,,,,
ARUNACHAL PRADESH,2014-15,,,,,,,,,
ARUNACHAL PRADESH,2013-14,276.2,4.5,92.8,11.2,384.6,31.4,,30.4,
ARUNACHAL PRADESH,2012-13,263,4.4,91.6,5,364,29.3,,30.2,
ARUNACHAL PRADESH,2011-12,255,6.5,90.5,10.5,362.5,33,,30,
ARUNACHAL PRADESH,2010-11,234,5.9,84.7,9.1,333.7,29.1,,29,
ASSAM,2016-17,5231,31,89,119,5470,211.6,,1159,825
ASSAM,2015-16,5125.1,34.3,91.6,107.6,5358.6,215.2,,1038.3,894.1
ASSAM,2014-15,4863,44,41,111.7,5059.7,186.5,,1041,795
ASSAM,2013-14,4927.1,40.4,25,104.3,5096.8,186.3,,1075.2,746.6
ASSAM,2012-13,5128.5,44.2,23.5,84.4,5280.6,186.8,,1028.2,583.1
ASSAM,2011-12,4516.3,60.3,18.2,68.6,4663.3,149.5,,993.5,638.8
ASSAM,2010-11,4736.6,52.8,17,70.1,4876.5,153.6,,1075,650.7
BIHAR,2016-17,7476.9,5085.1,2575.2,439,15576.6,131,,15416,1682.1
BIHAR,2015-16,6802.2,4736.4,2548.6,420.7,14507.9,126.5,,12649.3,1630
BIHAR,2014-15,6377.2,4049.3,2206.8,420.2,13053.5,131.4,,14131.4,1500
BIHAR,2013-14,5505.8,4738,2139.9,522,12905.8,146.2,,12881.8,1745.1
BIHAR,2012-13,7529.3,5357.2,2510.3,542.8,15939.6,143.3,,12741.4,1717.7
BIHAR,2011-12,7162.6,4725,1648.3,511.3,14047.2,139.5,,11288.6,1738.8
BIHAR,2010-11,3102.1,4097.6,1484.5,537.8,9221.9,136.3,,12763.6,1310.4
CHHATTISGARH,2016-17,8048.4,159.5,292.9,727.4,9228.2,169.6,,49.3,1.9
CHHATTISGARH,2015-16,5789.4,137.4,215.5,511.9,6654.2,149.6,,67.8,2.3
CHHATTISGARH,2014-15,6021.2,135.3,264.6,654.7,7075.8,173,,49.3,2.1
CHHATTISGARH,2013-14,6716.4,134,263.1,482.1,7595.6,185.4,,22.1,2.2
CHHATTISGARH,2012-13,6608.8,141.3,244.7,648.7,7643.6,215,,37.3,2.6
