Category,State/ UT Name,Banana-Production-2009-10,Banana-Production-2010-11,Banana-Production-2011-12,Banana-Production-2012-13,Banana-Production-2013-14,Banana-Production-2014-15 @,Citrus-Production-2009-10,Citrus-Production-2010-11,Citrus-Production-2011-12,Citrus-Production-2012-13,Citrus-Production-2013-14,Citrus-Production-2014-15 @,Guava-Production-2009-10,Guava-Production-2010-11,Guava-Production-2011-12,Guava-Production-2012-13,Guava-Production-2013-14,Guava-Production-2014-15 @,Mango-Production-2009-10,Mango-Production-2010-11,Mango-Production-2011-12,Mango-Production-2012-13,Mango-Production-2013-14,Mango-Production-2014-15 @,Papaya-Production-2009-10,Papaya-Production-2010-11,Papaya-Production-2011-12,Papaya-Production-2012-13,Papaya-Production-2013-14,Papaya-Production-2014-15 @
State,Andhra Pradesh,2819.6,2774.8,2899.6,3242.8,3166.9,3573.1,3883.7,1805.6,1886.9,3800.6,1913.4,1703.5,150.8,128.2,134,184.5,104.1,98.9,4058.3,3363.4,3514.8,4406.9,2737,2766.1,1500.7,1138.4,1189.9,1652,1544.8,667.6
State,Arunachal Pradesh,13.3,13.3,17.5,18.2,19.1,20,35.6,35.6,175.7,176.7,182.1,190,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
State,Assam,805.2,723.6,745.3,837,857.7,907.1,225.9,268.2,280.9,323.4,294.1,352,88.2,97.3,99.3,105.8,83.8,109.3,46.5,47.5,51.3,55.3,44.6,57.4,119.1,134.4,167.9,174.6,149.1,178.1
State,Bihar,1435.3,1517.1,1580.5,1702,1435.8,1526.5,131.2,130.7,133.9,136.4,128.9,129,231.5,235.2,245.2,259.5,373.7,370,995.9,1334.9,1241.8,1363.8,1367.6,1271.6,35.6,38.2,41.3,44.3,40,44
State,Chhattisgarh,296.9,351.4,381.7,413.4,498.8,564.4,55.4,67.2,74.9,80.7,80.6,85.5,90.8,102.8,121.3,140.9,162.8,171.9,191.8,237,271.5,291.8,327.9,386.7,211.7,247.1,268.3,289.9,286.8,275.8
State,Goa,25.1,25.1,25.8,25.9,26.3,26.9,NA,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,7.6,7.6,83.4,9,8.9,8.9,NA,NA,NA,NA,NA,NA
State,Gujarat,3779.8,3978,4047.8,4523.5,4225.5,4225.5,385.6,409.1,425.1,433.1,449.2,449.2,156.6,150.7,156.3,158.1,140.8,140.8,856.7,911.3,966,1003.7,1125.6,1125.6,832.9,974,1060.9,1189.3,1185.5,1185.5
State,Haryana,NA,NA,NA,NA,NA,NA,98.3,130,214.2,225.1,235.4,243.5,55.8,71.6,87.1,107.6,125,140.3,64.6,72.8,77.4,79.6,86.6,107.5,NA,NA,NA,NA,NA,NA
State,Himachal Pradesh,0.3,0.4,0.3,0.4,0.3,0.3,28.1,28.7,25,24.3,22.3,22.2,2.3,3.1,2.6,2.8,2.5,2.8,24,31.5,29,50,25.4,47.6,1,0.9,1,1.2,1.3,1.1
State,Jammu & Kashmir,NA,NA,NA,NA,NA,NA,19.1,19,39.3,20.8,22.6,21.8,7.2,5.4,11.2,5.7,5.8,5.1,12.1,41.1,45.7,23.1,7,17.7,NA,NA,NA,NA,NA,NA
State,Jharkhand,58,64.3,NA,1.3,1.3,1.3,53.3,75.6,86.4,87.7,87.7,88.5,84.5,84.4,94.9,95.4,95.4,96.4,254.3,427.9,515.6,517.9,517.9,523.1,NA,NA,NA,5.1,5.1,5.2
State,Karnataka,2132.3,2281.6,2351.5,2529.6,2675.6,2710.8,312.5,324.7,400.6,399,379.3,401.5,138.8,141.6,135.1,134.9,143.4,142.6,1694,1778.8,1868.3,1795.1,1755.6,1739.6,419.3,440.2,439.4,460.2,475.7,524.2
State,Kerala,406.2,483.7,419.5,515.6,528.2,1160.2,NA,0,NA,0,0,1.5,NA,NA,NA,NA,NA,0.9,373.2,380.9,373.2,441,441,328.6,80.7,100.8,98.6,96.9,89.9,60.7
