State/ UT Name,Brinjal-Production-2009-10,Brinjal-Production-2010-11,Brinjal-Production-2011-12,Brinjal-Production-2012-13,Brinjal-Production-2013-14,Brinjal-Production-2014-15 @,Cabbage-Production-2009-10,Cabbage-Production-2010-11,Cabbage-Production-2011-12,Cabbage-Production-2012-13,Cabbage-Production-2013-14,Cabbage-Production-2014-15 @,C.Flower-Production-2009-10,C.Flower-Production-2010-11,C.Flower-Production-2011-12,C.Flower-Production-2012-13,C.Flower-Production-2013-14,C.Flower-Production-2014-15 @,Okra-Production-2009-10,Okra-Production-2010-11,Okra-Production-2011-12,Okra-Production-2012-13,Okra-Production-2013-14,Okra-Production-2014-15 @,Peas-Production-2009-10,Peas-Production-2010-11,Peas-Production-2011-12,Peas-Production-2012-13,Peas-Production-2013-14,Peas-Production-2014-15 @,Tomato-Production-2009-10,Tomato-Production-2010-11,Tomato-Production-2011-12,Tomato-Production-2012-13,Tomato-Production-2013-14,Tomato-Production-2014-15 @,Onion-Production-2009-10,Onion-Production-2010-11,Onion-Production-2011-12,Onion-Production-2012-13,Onion-Production-2013-14,Onion-Production-2014-15 @,Potato-Production-2009-10,Potato-Production-2010-11,Potato-Production-2011-12,Potato-Production-2012-13,Potato-Production-2013-14,Potato-Production-2014-15 @,Others-Production-2009-10,Others-Production-2011-12,Others-Production-2012-13,Others-Production-2013-14,Others-Production-2014-15 @,Total-Production-2009-10,Total-Production-2010-11,Total-Production-2011-12,Total-Production-2012-13,Total-Production-2013-14,Total-Production-2014-15 @
Andhra Pradesh,485,NA,1524.9,1615.3,1160.5,381,136.1,NA,433.9,81.5,45.4,36.2,74.9,NA,22.5,21,93.5,40.1,502.1,NA,1202,1113.8,661.4,211.3,20.4,NA,82.4,29,23.7,0.1,1652.1,NA,6015.1,5218.1,3354.5,3354.5,662.6,NA,824.8,1560.1,1004.6,575.6,137.7,NA,98.4,189.6,51.1,43.6,1399.1,1749.9,2270.8,1384,1531.6,5426.2,0,98.4,12104.7,8149.8,6445.6
Arunachal Pradesh,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.6,11,12,NA,NA,NA,7.4,5.8,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.9,13.5,14,NA,NA,NA,NA,NA,NA,31.7,NA,40,NA,NA,NA,6.8,43.5,3.8,4.8,5,38.5,0,40,37.6,35,41
Assam,253,NA,260.1,267.9,270.7,286.4,614.2,NA,641.5,652.7,656.7,873.3,351.3,NA,337.4,449.3,337.6,466.4,149.7,NA,154.4,169.1,171,185.7,13.2,NA,18.6,16.3,26.5,27.6,379.5,NA,397.7,402.5,408.4,518,19.3,NA,24,30.9,28.8,33.6,589.7,NA,783.4,975.3,700.1,1706,2144.8,358.7,410.2,374,563.3,4569.9,0,783.4,3415.1,3031.9,4752.1
Bihar,1198.6,NA,1271.5,1291.5,1240.5,1141.6,689.9,NA,735,778.6,735,695.3,1080.1,NA,1155.1,1193.7,1147.8,1003.6,766.6,NA,825.3,854.2,783.5,762.9,63.5,NA,82.1,88.7,67.2,65.8,1043.7,NA,1104.8,1126.3,1061.8,1046.4,972,NA,1236.7,1107.8,1304.2,1247.3,5387.2,NA,6101.7,6640.6,6536,6345.6,2698.1,3030.6,3234.5,2213.6,2150.3,13906.8,0,6101.7,16325.7,15097.8,14467.2
Chhattisgarh,374.5,439.5,502.9,545.7,586,606.7,227.8,257.7,282,295.5,338.6,356.4,268.9,306,330,342,395.8,412.6,217.3,249.1,252.2,269.2,430.6,325.2,96.6,99.7,118.6,NA,NA,NA,600.6,627.9,718.5,762.2,814.2,886.1,160.3,174.2,222.2,269.3,309.5,369.4,449.8,526.3,579.2,648.6,556.4,542.8,1172.9,1541.3,1823.6,1999.1,2204.2,3601.1,2717.1,579.2,4993.9,5465.9,5739.5
Goa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57.8,78.2,80.5,79.9,82,57.8,0,0,80.5,79.9,82
Gujarat,1143.6,1236.3,1270.6,1341.1,1477,1477,473.8,553.6,560.7,663.5,661.4,661.4,356.7,387.4,390.2,532.3,601.5,601.5,466.2,592.5,717.3,723.3,759,759,NA,NA,NA,NA,NA,NA,841.3,978.4,1092.5,1156.7,1259,1259,1078.6,1514.1,1562.2,704.4,1851.2,1126.5,1657,1881.8,2395.5,2499.7,2267.4,2964.1,1238.2,2060.8,2899.7,2694.7,2694.7,7255.5,7144.1,2395.5,10520.7,11571.2,11543.3
Haryana,143.2,255.2,281.5,302.9,400.8,296,218.3,262.4,269.8,270.4,241.1,256.2,487.7,531.9,584.3,492.3,526.5,475.7,118.6,145.3,139.7,154.1,186.3,192.9,64.3,79,91.4,107.5,108.8,104.3,379.8,392.4,417.4,400.8,627.3,666.6,330.3,453.9,589.8,604.5,672.2,667.1,494.8,598.2,618.9,676,696.5,658.4,1750,2075.7,2002.9,2106.4,1974.3,3987,2718.3,618.9,5011.3,5565.9,5291.5
Himachal Pradesh,20.5,25.1,25.6,23.5,26.7,23.5,144.7,144.2,148.9,149.7,153.8,149.7,56.6,60.7,63.2,101.7,100.1,101.7,28.1,29.6,NA,30.3,34,30.3,237.3,254.2,258.4,280.2,271.1,280.2,383.8,388.4,400,413.7,430.8,413.7,33.9,35.9,36.3,39.4,43.7,39.4,184.4,206,206.2,180.6,243.3,243.3,301.3,423,302,332.5,303.6,1390.7,1144.1,206.2,1521.1,1635.9,1585.4
Jammu & Kashmir,40.6,45.3,45.2,45.2,45.2,45.2,66.7,95.5,73.2,73.2,73.2,73.2,111.9,134.8,85.3,85.3,85.3,85.3,42.5,47.5,43,43,43,43,69.9,212.5,58.1,58.1,58.1,58.1,122.1,136.6,88.1,88.1,88.1,88.1,64.8,63.5,65.3,65.3,65.3,65.3,110.6,150.7,127.2,127.2,127.2,127.2,745.1,810.1,810.1,810.1,810.1,1374.2,886.4,127.2,1395.5,1395.5,1395.5
