date,cpi_combined_yoy,cpi_clothing_yoy,wholesale_prices_yoy,wholesale_food_prices_index,wholesale_nonfood_prices_index,wholesale_food_products_prices_index,price_index_baked_goods,price_index_canned_foods,price_index_dairy,price_index_edible_oils,price_index_cottonseed_oil,price_index_grain,price_index_oil_cakes,price_index_food_other,price_index_sugar,price_index_unprocessed_foods,price_index_spices,price_index_eggs_meat,price_index_food_grains,price_index_cereals,price_index_bajra,price_index_barley,price_index_jowar,price_index_maize,price_index_ragi,price_index_ric,price_index_wheat,price_index_fruits_veg,price_index_fruit,price_index_veg,price_index_pulses,price_index_milk,price_index_other_food_articles,loan_default_ratio,irrigated_areas,rural_bank_branches
3/2017,3.88888,4.52107,5.10678,137.6,121.9,127.3,152.2,163.8,218.2,155.9,194.7,203.2,246.3,233.6,217.9,137.6,310.9,310.2,270.1,258.4,305.1,283.8,311.3,269.3,510.5,256.5,245.2,241.8,255.6,225.2,325.4,262.1,253.8,48.94,6014,736
2/2017,3.6508,4.37788,5.50887,136.6,123.9,128,152.1,165.6,217,156.9,202.9,207.9,246.9,235.4,216.7,136.6,334.6,309.4,276.8,260.7,300.2,291.9,324.8,270.4,487.9,255.1,253.9,231,253.8,203.3,352.4,261.6,254.9,48.54,6014,736
1/2017,3.16706,4.71043,4.25926,136.5,122.2,128,151.8,168.1,214.9,158.2,204.6,214.1,244.7,236.1,212.6,136.5,357.3,308.6,283.3,260,298.7,291.6,317.4,275.6,484.9,252,256.6,220.1,240.2,195.7,393.2,261.3,257.9,48.14,6014,736
12/2016,3.40999,4.96124,2.10237,137.6,119.4,127.7,152,170.2,213,158.3,205.3,215.3,250,236.7,209.2,137.6,351.5,304.7,293.2,260.8,303.1,290.6,302.4,272.6,464.3,253.6,258.3,219.2,230.5,205.5,445.8,261.2,258.1,47.74,6014,736
11/2016,3.63349,4.97667,1.81984,142,117.7,127.3,151.5,169.4,212.9,156.4,204.2,211.5,253.9,236.2,211.6,142,349.3,303.8,294.7,258.9,298,287.1,293.6,275.7,445.2,254.7,251.9,246.8,242.3,252.2,463,261.3,260.2,47.34,6014,695
10/2016,4.20301,5.24256,1.27157,141.9,120,126.7,150.9,171.1,212.6,157,206.4,205.2,266,233.8,210.2,141.9,352.7,299.9,288,254.7,290.5,276.3,294.5,280.7,369.7,255.4,239.2,265,256.6,275.2,444.9,261.6,255.2,46.94,5939,695
9/2016,4.38596,5.18868,1.36488,141.9,123,125.9,151.2,165.9,212.7,157.3,199.3,200.8,273.6,231.4,207.5,141.9,355.7,299.1,283,255,297.6,277.1,304.9,288.3,339.3,254.9,238.3,275.1,281.7,267.1,415,261.7,249,46.54,5939,695
8/2016,5.04808,5.21327,1.09091,142.6,125.1,125,151.5,169.9,209.6,157.1,196.9,197.7,276.2,230.3,206.8,142.6,360,303.1,286.6,254.4,305.6,280,296.6,288.1,336.7,254.7,236.8,286.5,276,299.3,437.9,260.6,244.8,46.34933333,5939,695
7/2016,6.06797,5.23394,0.63007,144.5,126.5,124.3,151.2,167.8,209,155.6,192.7,191.1,275.6,228.3,204.3,144.5,351.3,301.5,285.9,253,306.9,278.2,293.7,289.6,337.3,253.9,233.8,297.5,275.5,324.2,441,259.7,246.7,46.15866667,5939,695
6/2016,5.77236,5.01194,-0.08945,144,124.2,122.9,151.2,168.3,208.7,154.5,191.8,187.6,270.7,225.2,200.1,144,352,305.4,275.6,249.1,314.2,274.2,290.8,278.6,349.7,248.8,231.5,278.3,262,298,400.3,258,250.4,45.968,5939,695
